Age Group,Year,population,Female,Male
0 to 4 years,1950,956890,469244,487646
,1951,977173,479746,497427
,1952,995369,489042,506327
,1953,1013897,498173,515724
,1954,1038985,510365,528620
,1955,1067185,524135,543050
,1956,1093408,536916,556492
,1957,1119047,549433,569614
,1958,1147243,563228,584015
,1959,1181825,580144,601681
,1960,1220342,598968,621374
,1961,1257410,617088,640322
,1962,1287343,631780,655563
,1963,1307422,641766,665656
,1964,1321745,649037,672708
,1965,1336014,656319,679695
,1966,1352171,664511,687660
,1967,1368399,672700,695699
,1968,1385890,681472,704418
,1969,1402415,689736,712679
,1970,1413985,695507,718478
,1971,1422007,699500,722507
,1972,1422276,699656,722620
,1973,1417783,697477,720306
,1974,1416205,696777,719428
,1975,1414455,696015,718440
,1976,1415860,696813,719047
,1977,1425153,701433,723720
,1978,1440272,708780,731492
,1979,1468084,722193,745891
,1980,1509113,741944,767169
,1981,1548375,760736,787639
,1982,1580250,775857,804393
,1983,1592143,781238,810905
,1984,1572870,771463,801407
,1985,1538154,754207,783947
,1986,1497989,734347,763642
,1987,1459416,715256,744160
,1988,1431171,701186,729985
,1989,1407165,689196,717969
,1990,1387855,679634,708221
,1991,1378523,675148,703375
,1992,1376954,674623,702331
,1993,1382524,677733,704791
,1994,1386169,679882,706287
,1995,1381598,677875,703723
,1996,1371119,672828,698291
,1997,1353214,663961,689253
,1998,1331734,653182,678552
,1999,1309853,642116,667737
,2000,1292611,633301,659310
,2001,1293589,633794,659795
,2002,1316175,645285,670890
,2003,1349364,662070,687294
,2004,1379701,677548,702153
,2005,1401095,688677,712418
,2006,1415484,696409,719075
,2007,1428877,703608,725269
,2008,1444541,711784,732757
,2009,1458227,718906,739321
,2010,1464603,722553,742050
,2011,1459484,720769,738715
,2012,1443832,713926,729906
,2013,1428668,706183,722485
,2014,1418672,699749,718923
,2015,1408882,693297,715585
,2016,1393459,683709,709750
,2017,1367657,669856,697801
,2018,1335897,654235,681662
,2019,1305858,639456,666402
,2020,1280227,626837,653390
,2021,1257467,615630,641837
5 to 9 years,1950,985806,480197,505609
,1951,1023790,499530,524260
,1952,1066238,521119,545119
,1953,1109156,543108,566048
,1954,1144466,561374,583092
,1955,1173941,576577,597364
,1956,1202364,591098,611266
,1957,1227875,603987,623888
,1958,1252850,616249,636601
,1959,1284063,631396,652667
,1960,1319626,648729,670897
